TreeID,qSpecies,qAddress,qSiteInfo,DBH,PlotSize,Latitude,Longitude
88407,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,1199 Mason St,Sidewalk: Curb side : Cutout,4,3x3,37.79436388,-122.4114195
99696,Pittosporum undulatum :: Victorian Box,1451 Jackson St,Sidewalk: Curb side : Cutout,24,3x3,37.7943936,-122.419059
107883,Ginkgo biloba :: Maidenhair Tree,941 Washington St,Sidewalk: Curb side : Cutout,,,37.79440464,-122.4087995
11031,Ficus nitida :: Laurel Fig,1469 Hyde St,Sidewalk: Curb side : Cutout,30,3x3,37.79441823,-122.4181414
127778,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',1459 Hyde St,Sidewalk: Curb side : Cutout,19,Width 5ft,37.79443545,-122.4181788
13433,Platanus x hispanica :: Sycamore: London Plane,2X Market St,Sidewalk: Curb side : Cutout,10,4x4,37.79446862,-122.3950336
195465,Platanus x hispanica :: Sycamore: London Plane,450x The Embarcadero,Median : Yard,5,,37.79449185,-122.3934482
100033,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,1199 Mason St,Sidewalk: Curb side : Cutout,,,37.79450621,-122.4114124
17364,Lophostemon confertus :: Brisbane Box,2308X Gough St,Sidewalk: Curb side : Cutout,3,3x3,37.79450678,-122.4264484
27597,Platanus x hispanica :: Sycamore: London Plane,4X Market St,Sidewalk: Curb side : Cutout,16,4x4,37.79451712,-122.3948492
27267,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',2080 Van Ness Ave,Sidewalk: Curb side : Cutout,24,3X3,37.79453189,-122.4229944
11033,Ficus nitida :: Laurel Fig,1503 Hyde St,Sidewalk: Curb side : Cutout,70,3x3,37.79460021,-122.4182066
17354,Prunus serrulata 'Kwanzan' :: Kwanzan Flowering Cherry,2200 Franklin St,Sidewalk: Curb side : Cutout,3,3X3,37.79474864,-122.4248085
98799,Ginkgo biloba :: Maidenhair Tree,950@Washington Clay St,Sidewalk: Curb side : Cutout,,3x3,37.79474977,-122.4088235
135589,Platanus x hispanica :: Sycamore: London Plane,150x Drumm St,Median : Yard,7,Width 7ft,37.79477356,-122.3966067
27489,Ficus nitida :: Laurel Fig,2109 Van Ness Ave,Sidewalk: Curb side : Cutout,14,3X3,37.79483234,-122.4233851
11036,Ficus nitida :: Laurel Fig,1521 Hyde St,Sidewalk: Curb side : Cutout,70,3x3,37.79483992,-122.4182198
27487,Ligustrum lucidum :: Glossy Privet,2113 Van Ness Ave,Sidewalk: Curb side : Cutout,12,3X3,37.79490427,-122.4234375
11038,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',1520 Hyde St,Sidewalk: Curb side : Cutout,70,3X3,37.79490667,-122.4181044
11037,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',1523 Hyde St,Sidewalk: Curb side : Cutout,70,3x3,37.79491497,-122.4182592
30037,Pyrus calleryana :: Ornamental Pear,2231 Franklin St,Sidewalk: Curb side : Cutout,3,3x3,37.79497033,-122.4250415
11040,Ficus microcarpa nitida 'Green Gem' :: Indian Laurel Fig Tree 'Green Gem',1529 Hyde St,Sidewalk: Curb side : Cutout,60,3X3,37.79499169,-122.4182791
23442,Eucalyptus polyanthemos :: Silver Dollar Eucalyptus,2100X Van Ness Ave,Median : Cutout,24,9,37.79500511,-122.4232657
